Korean,English
내가 ,I 
그 ,that 
난 ,I am 
내 ,my 
안 ,not 
수 ,number 
이 ,this 
네 ,yes 
거야 ,going to be 
좀 ,a little 
그래 ,okay 
있어 ,there is 
왜 ,why 
더 ,more 
그리고 ,and 
우리 ,we 
다 ,all 
무슨 ,what 
한 ,one 
하지만 ,but 
잘 ,well 
어떻게 ,how 
할 ,will do 
그냥 ,just 
정말 ,really 
그럼 ,then 
것 ,thing 
게 ,crab 
있어요 ,there is 
있는 ,There is
해 ,sun 
여기 ,here 
넌 ,you 
제가 ,I am 
날 ,me 
우리가 ,we 
건 ,case 
전 ,jeon 
이제 ,now 
지금 ,now 
그게 ,that is 
걸 ,girl 
거 ,thing 
아니 ,no 
네가 ,you 
없어 ,doesn't exist 
돼 ,Okay
저 ,I 
우린 ,We
제 ,my 
못 ,pond 
좋아 ,good 
당신이 ,you 
다른 ,different 
나 ,me 
그런 ,that 
그건 ,that 
너무 ,too 
그래서 ,so 
그렇게 ,like that 
다시 ,again 
이건 ,This is
이런 ,this 
나도 ,me too 
모든 ,every 
당신 ,you 
거예요 ,It is
당신은 ,you are 
아 ,ah 
좋은 ,good 
오 ,oh 
때 ,at the time 
너 ,you 
하는 ,doing 
하고 ,do 
아냐 ,no 
나는 ,I am 
아니야 ,no 
알아 ,know 
같이 ,together 
응 ,huh 
이게 ,this 
없어요 ,no 
괜찮아 ,are you okay 
오늘 ,today 
말이야 ,That's what I'm saying
줄 ,line 
또 ,also 
널 ,you 
누가 ,who 
어떤 ,which 
아주 ,very 
말 ,word 
아직 ,yet 
안돼 ,no 
진짜 ,really 
모두 ,every 
마 ,mind 
같은 ,same 
여기서 ,Here
어서 ,hurry 
그는 ,he is 
위해 ,for 
해요 ,do 
일이 ,Work
하지 ,summer solstice 
엄마 ,mom 
바로 ,as soon as 
가 ,go 
근데 ,however 
알고 ,I know
이렇게 ,like this 
빨리 ,hurry 
있습니다 ,there is 
이거 ,this 
전에 ,before 
어 ,uh 
아뇨 ,no 
계속 ,continue 
닥터 ,Doctor
얼마나 ,how much 
될 ,Will be
알았어 ,okay 
않아 ,No
제발 ,please 
있지 ,Yes
겁니다 ,I'm scared
어디 ,where 
사람이 ,People
그가 ,He
안녕 ,hi 
좋아요 ,great 
같아 ,Same
우리는 ,we are 
그래요 ,is it so 
당신을 ,You
자 ,ruler 
그걸 ,That
두 ,two 
아니에요 ,no 
있을 ,There will be
때문에 ,because 
대해 ,about 
아빠 ,dad 
몇 ,some 
사람 ,person 
했어 ,I did it
뭐야 ,what 
수도 ,capital 
많이 ,many 
집에 ,at home 
거지 ,the poor 
일을 ,Work
저는 ,I am 
음 ,hmm 
그렇지 ,yes 
함께 ,together 
만약 ,if 
하나 ,one 
저기 ,excuse me 
고마워요 ,thank you 
항상 ,always 
나한테 ,To me
잠깐 ,for a moment 
가서 ,Go
가장 ,most 
돼요 ,Okay
거죠 ,That's right
가자 ,let's go 
맞아 ,that's right 
보고 ,report 
와 ,and 
그거 ,that 
말을 ,Speak
괜찮아요 ,are you okay 
아무도 ,no one 
없는 ,None
안녕하세요 ,hello 
몰라 ,I don't know 
일 ,Day 
많은 ,many 
당신의 ,your 
아무것도 ,nothing 
그러니까 ,therefore 
큰 ,big 
알아요 ,i know 
그의 ,His
뭐가 ,what 
고마워 ,thank you 
그만 ,stop 
했어요 ,i did it 
젠장 ,shit 
사람들이 ,People
거에요 ,It's there
이걸 ,This
그럴 ,That's right
것도 ,That too
말이 ,Horse
이미 ,already 
야 ,hey 
그를 ,Him
뭔가 ,Something
온 ,on 
이봐 ,hey 
아니면 ,or not 
같아요 ,It's the same
그런데 ,however 
아니라 ,No
세상에 ,oh my god 
있다고 ,There is
있고 ,There is
뭐라고 ,what 
예 ,yes 
절대 ,Never
말야 ,I mean
당장 ,Right now
그래도 ,still 
대한 ,Korea
말은 ,The words
거기 ,there 
전부 ,entire 
둘 ,two 
그녀는 ,she is 
니가 ,you 
갈 ,conflict 
않아요 ,No
자기 ,self 
있죠 ,Yes
하면 ,If you do
가지고 ,have 
그들이 ,They
참 ,really 
너도 ,you also 
됐어 ,it's okay 
미안해 ,Sorry 
것을 ,That
여긴 ,Here
아무 ,any 
사람은 ,People
감사합니다 ,thank you 
다들 ,Everyone
어때 ,how 
씨 ,Seed
곧 ,soon 
엄마가 ,Mom
나를 ,me 
이젠 ,Now
아마 ,maybe 
그들은 ,they 
얘기 ,talk 
꼭 ,please 
있잖아 ,You know
저도 ,me too 
지금은 ,now 
그녀가 ,She
중 ,middle 
있다 ,there is 
시간 ,hour 
먼저 ,first 
우릴 ,Us
말고 ,Not to mention
사람을 ,People
수가 ,medical charge 
봐요 ,see 
있는데 ,There is
알았어요 ,all right 
해야 ,Should
있었어 ,There was
우리의 ,Our
않을 ,Won't
방금 ,just now 
완전 ,Completely
된 ,Done
동안 ,during 
시간이 ,Time
싶어 ,I want to
본 ,copy 
일은 ,Work
친구 ,friend 
들어 ,Listen
안에 ,Inside
번 ,th 
자네 ,you 
합니다 ,do 
사실 ,actually 
한번 ,once 
대체 ,Substitute
같은데 ,Same
생각해 ,Think about it
맞아요 ,that's right 
볼 ,cheek 
혼자 ,alone 
자네가 ,You
절 ,I 
그러니 ,so 
선생님 ,teacher 
사람들은 ,People
문제가 ,The problem is
다음 ,next 
물론 ,of course 
거의 ,almost 
일이야 ,It's work
없습니다 ,doesn't exist 
아빠가 ,Dad
되는 ,It can be done
그러면 ,then 
순 ,Sun
가는 ,Going
말도 ,Nonsense
이리 ,Come here
있었어요 ,There was
맙소사 ,oh my god 
내일 ,tomorrow 
있으면 ,If there is
잠깐만 ,wait for a sec 
싫어 ,no 
중요한 ,important 
내게 ,To me
말해 ,say 
이상 ,more 
거라고 ,That's it
아는 ,know 
너는 ,you 
새 ,bird 
적 ,enemy 
전혀 ,at all 
여자 ,female 
